[ 2025-08-11 12:52:14,839 ] 17 root - INFO - Initiate the data ingestion
[ 2025-08-11 12:52:31,750 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-11 12:52:31,750 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-11 12:52:31,751 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-11 12:52:31,798 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-11 12:52:31,798 ] 19 root - INFO - Data Initiation Completed
[ 2025-08-11 12:52:31,805 ] 23 root - INFO - Initiate the data Validation
[ 2025-08-11 12:52:31,822 ] 32 root - INFO - Required number of columns:2
[ 2025-08-11 12:52:31,823 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-11 12:52:31,823 ] 32 root - INFO - Required number of columns:2
[ 2025-08-11 12:52:31,823 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-11 12:52:31,923 ] 25 root - INFO - data Validation Completed
[ 2025-08-11 12:52:31,923 ] 28 root - INFO - data Transformation started
[ 2025-08-11 12:52:31,923 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-11 12:52:31,923 ] 65 root - INFO - Starting data transformation
[ 2025-08-11 12:52:31,955 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-11 12:52:31,956 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-11 12:52:31,971 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-11 12:52:31,971 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-11 12:52:31,971 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-11 12:52:31,971 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-11 12:52:31,971 ] 32 root - INFO - data Transformation completed
